Date,Open,High,Low,Close,Volume,Adj Close
2012-12-12,27.530001,27.620001,27.08,27.24,43966300,24.701843
2012-12-11,27.049999,27.49,27.049999,27.32,52282800,24.774389
2012-12-10,26.559999,26.969999,26.52,26.940001,47031100,24.429797
2012-12-07,26.82,26.82,26.370001,26.459999,46162100,23.994521
2012-12-06,26.809999,26.98,26.610001,26.73,39182300,24.239363
2012-12-05,26.379999,26.93,26.26,26.67,68283800,24.184955
2012-12-04,26.50,26.629999,26.34,26.370001,49777500,23.912909
2012-12-03,26.780001,26.82,26.40,26.43,53173800,23.967317
2012-11-30,27.049999,27.129999,26.49,26.620001,83690200,24.139614
2012-11-29,27.110001,27.360001,26.860001,26.950001,69551400,24.438866
2012-11-28,27.01,27.389999,26.77,27.360001,53018400,24.810663
2012-11-27,27.360001,27.379999,27.040001,27.08,45018600,24.556752
2012-11-26,27.540001,27.58,27.17,27.389999,85198700,24.837866
2012-11-23,27.23,27.77,27.200001,27.700001,57845700,25.118982
2012-11-21,26.709999,27.17,26.67,26.950001,66360300,24.438866
2012-11-20,26.76,26.799999,26.459999,26.709999,47070400,24.221227
2012-11-19,26.799999,26.799999,26.469999,26.73,57179300,24.239363
2012-11-16,26.67,26.700001,26.34,26.52,64083300,24.048932
2012-11-15,26.879999,26.969999,26.629999,26.66,50955600,24.175886
2012-11-14,27.24,27.290001,26.799999,26.84,76086100,24.339115
2012-11-13,27.02,27.299999,26.75,27.09,131689200,24.56582
2012-11-12,28.940001,29.01,28.209999,28.219999,61112300,25.38196
2012-11-09,28.879999,29.190001,28.809999,28.83,43291200,25.930614
2012-11-08,29.120001,29.370001,28.799999,28.809999,49841800,25.912625
2012-11-07,29.530001,29.83,29.049999,29.08,57871800,26.155472
2012-11-06,29.82,30.200001,29.610001,29.860001,43401500,26.857029
2012-11-05,29.620001,29.74,29.33,29.629999,38070800,26.650159
2012-11-02,29.59,29.77,29.33,29.50,57131600,26.533234
2012-11-01,28.84,29.559999,28.82,29.52,72047900,26.551223
2012-10-31,28.549999,28.879999,28.50,28.540001,69464100,25.66978
2012-10-26,27.860001,28.34,27.84,28.209999,57790000,25.372966
2012-10-25,28.190001,28.200001,27.860001,27.879999,54084300,25.076154
2012-10-24,28.16,28.200001,27.870001,27.90,53320400,25.094143
2012-10-23,27.77,28.200001,27.76,28.049999,64414800,25.229057
2012-10-22,28.73,28.83,27.83,28.00,83374000,25.184086
2012-10-19,29.049999,29.08,28.50,28.639999,90470800,25.759722
2012-10-18,29.65,29.73,29.26,29.50,59238500,26.533234
2012-10-17,29.299999,29.639999,29.09,29.59,44206100,26.614183
2012-10-16,29.450001,29.74,29.32,29.49,47739400,26.524239
2012-10-15,29.370001,29.719999,29.25,29.51,42440200,26.542228
2012-10-12,28.969999,29.32,28.799999,29.200001,46464700,26.263405
2012-10-11,29.219999,29.25,28.870001,28.950001,41488500,26.038547
2012-10-10,29.15,29.309999,28.950001,28.98,47227100,26.065529
2012-10-09,29.68,29.74,29.18,29.280001,45121100,26.335359
2012-10-08,29.639999,29.92,29.549999,29.780001,29752000,26.785075
2012-10-05,30.23,30.25,29.74,29.85,41133900,26.848035
2012-10-04,29.969999,30.030001,29.57,30.030001,43634900,27.009933
2012-10-03,29.75,29.99,29.67,29.860001,46655900,26.857029
2012-10-02,29.68,29.889999,29.50,29.66,43338900,26.677142
2012-10-01,29.809999,29.98,29.42,29.49,54042700,26.524239
2012-09-28,30.18,30.26,29.74,29.76,54229300,26.767086
2012-09-27,30.17,30.40,29.889999,30.16,47129900,27.126858
2012-09-26,30.280001,30.60,30.040001,30.17,54672000,27.135853
2012-09-25,30.950001,31.00,30.360001,30.389999,54266400,27.333727
2012-09-24,31.00,31.07,30.639999,30.780001,46825900,27.684507
2012-09-21,31.43,31.610001,31.09,31.190001,102348900,28.053274
2012-09-20,30.950001,31.48,30.91,31.450001,45543000,28.287126
2012-09-19,31.09,31.190001,31.040001,31.049999,48871900,27.927352
2012-09-18,31.10,31.209999,31.030001,31.18,34542700,28.044279
2012-09-17,31.190001,31.26,31.040001,31.209999,36488500,28.071261
2012-09-14,31.01,31.25,30.809999,31.209999,51422800,28.071261
2012-09-13,30.889999,31.18,30.40,30.940001,45047300,27.828416
2012-09-12,30.940001,31.18,30.73,30.780001,32775800,27.684507
2012-09-11,30.690001,30.91,30.610001,30.790001,25191800,27.693501
2012-09-10,30.83,30.90,30.51,30.719999,40524000,27.63054
2012-09-07,31.040001,31.07,30.73,30.950001,42649100,27.83741
2012-09-06,30.50,31.360001,30.459999,31.35,48371700,28.197182
2012-09-05,30.219999,30.530001,30.209999,30.389999,33650000,27.333727
2012-09-04,30.450001,30.66,30.15,30.389999,48556700,27.333727
2012-08-31,30.60,30.959999,30.379999,30.82,36590100,27.720483
2012-08-30,30.530001,30.610001,30.219999,30.32,23982100,27.270767
2012-08-29,30.65,30.75,30.440001,30.65,23346800,27.56758
2012-08-28,30.700001,30.799999,30.52,30.629999,23947900,27.549591
2012-08-27,30.93,30.959999,30.59,30.690001,34691100,27.603558
2012-08-24,30.25,30.629999,30.18,30.559999,22943300,27.486631
2012-08-23,30.389999,30.40,30.08,30.26,28355600,27.216802
2012-08-22,30.59,30.76,30.469999,30.540001,33437400,27.468643
2012-08-21,30.76,30.959999,30.610001,30.799999,28822700,27.702494
2012-08-20,30.82,30.85,30.58,30.74,23737700,27.648529
2012-08-17,30.92,30.92,30.59,30.90,32589900,27.792438
2012-08-16,30.360001,30.940001,30.26,30.780001,35787200,27.684507
2012-08-15,30.110001,30.280001,30.02,30.200001,24351000,27.162836
2012-08-14,30.299999,30.389999,30.01,30.129999,34551400,27.099875
2012-08-13,30.35,30.459999,30.16,30.389999,23049100,27.15384
2012-08-10,30.50,30.620001,30.25,30.42,27810300,27.180646
2012-08-09,30.389999,30.65,30.299999,30.50,24920800,27.252127
2012-08-08,30.209999,30.469999,30.110001,30.33,26257600,27.10023
2012-08-07,30.07,30.35,29.870001,30.26,28002900,27.037684
2012-08-06,30.00,30.110001,29.809999,29.950001,27471800,26.760696
2012-08-03,29.530001,29.940001,29.48,29.75,35859400,26.581993
2012-08-02,29.209999,29.530001,28.969999,29.190001,39520500,26.081627
2012-08-01,29.59,29.65,29.209999,29.41,31721800,26.278199
2012-07-31,29.48,29.709999,29.33,29.469999,37620900,26.331809
2012-07-30,29.75,29.82,29.459999,29.639999,28905000,26.483706
2012-07-27,29.48,29.85,29.18,29.76,44242600,26.590928
2012-07-26,29.23,29.50,29.09,29.16,45301400,26.054821
2012-07-25,29.24,29.33,28.780001,28.83,45579500,25.759962
2012-07-24,29.24,29.360001,28.90,29.15,47723300,26.045885
2012-07-23,29.57,29.58,29.01,29.280001,55151900,26.162043
2012-07-20,31.00,31.049999,30.049999,30.120001,64021700,26.912593
2012-07-19,30.51,30.799999,30.379999,30.67,46663200,27.404024
2012-07-18,29.60,30.450001,29.459999,30.450001,41090400,27.207452
2012-07-17,29.639999,29.860001,29.200001,29.66,33771300,26.501577
2012-07-16,29.48,29.530001,29.040001,29.440001,27900600,26.305005
2012-07-13,28.76,29.48,28.719999,29.389999,39085000,26.260328
2012-07-12,29.15,29.18,28.540001,28.629999,63523600,25.581258
2012-07-11,29.709999,29.74,29.110001,29.299999,39184900,26.179912
2012-07-10,30.08,30.219999,29.51,29.74,37534100,26.573058
2012-07-09,30.120001,30.23,29.780001,30.00,30680800,26.805371
2012-07-06,30.610001,30.700001,29.950001,30.190001,38294800,26.975139
2012-07-05,30.59,30.780001,30.379999,30.700001,28801900,27.43083
2012-07-03,30.23,30.76,30.17,30.76,20938100,27.484441
2012-07-02,30.620001,30.620001,30.209999,30.559999,30589100,27.305737
2012-06-29,30.450001,30.690001,30.139999,30.59,55227200,27.332543
2012-06-28,29.98,30.049999,29.42,29.91,45328400,26.724955
2012-06-27,30.190001,30.50,30.030001,30.17,33781700,26.957268
2012-06-26,30.00,30.27,29.940001,30.02,38421300,26.823242
2012-06-25,30.299999,30.32,29.620001,29.870001,42217200,26.689215
2012-06-22,30.299999,30.73,30.030001,30.700001,45098100,27.43083
2012-06-21,30.959999,31.139999,30.059999,30.139999,48456600,26.930462
