Date;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
01.01.05;11.2674;11.6251;12.6685;13.9351;14.5826;15.5233
01.02.05;9.7859;11.0043;10.8702;12.3613;13.4577;14.1622
01.03.05;10.0524;9.9023;10.0274;10.778;11.7269;12.3609
01.04.05;9.7428;10.3367;11.5194;12.5968;13.5897;12.8643
01.05.05;10.676;12.0942;12.2677;13.3316;14.8202;14.3158
01.06.05;9.3947;9.7696;9.7943;11.072;12.6173;12.8661
01.07.05;9.9129;9.8364;10.4277;11.7647;12.2285;13.0358
01.08.05;11.3875;11.3654;11.5024;12.2139;12.7145;13.3369
01.09.05;12.1352;11.5718;11.8196;12.5322;13.0874;13.8745
01.10.05;11.8652;11.312;11.82;12.0821;13.0803;11.9612
01.11.05;14.9108;13.9959;12.5521;13.6212;14.3741;13.8148
01.12.05;13.8856;12.6967;12.0893;14.0074;14.9227;14.695
01.01.06;12.6662;12.2797;13.1222;13.8029;13.9731;14.1279
01.02.06;13.6021;13.7751;12.2138;13.8716;13.8254;15.021
01.03.06;12.4127;12.5477;11.3313;13.3217;13.6073;14.498
01.04.06;11.4457;12.0884;12.7991;13.298;14.2735;10.5754
01.05.06;11.3197;11.9076;11.0193;12.6871;13.1204;11.2205
01.06.06;19.3799;18.4239;15.7116;17.7407;17.6239;13.8853
01.07.06;15.2435;14.9932;15.637;15.9301;14.1845;16.5805
01.08.06;15.0281;15.6937;14.0946;16.1457;14.8767;16.8949
01.09.06;12.3482;13.8623;12.8279;15.393;14.6364;15.9318
01.10.06;14.0097;13.5924;14.3166;13.7298;14.5753;10.5299
01.11.06;12.2486;12.876;12.048;13.7196;14.2139;12.0806
01.12.06;15.3962;13.5273;13.2435;14.439;14.9552;12.1999
01.01.07;12.2321;13.1376;14.3551;14.7888;13.0258;15.5033
01.02.07;12.8979;13.4808;13.8236;14.721;13.7484;15.3279
01.03.07;20.1007;16.7597;15.2824;16.7387;14.2788;16.6544
01.04.07;15.8123;16.0055;16.1609;14.476;16.1732;11.6087
01.05.07;16.0439;15.9341;15.3844;15.7325;15.5264;12.519
01.06.07;13.4982;14.097;14.454;15.5435;15.3322;12.572
01.07.07;15.2963;15.148;15.2064;15.7634;13.2414;15.5784
01.08.07;19.7415;18.7589;18.5328;18.507;13.8627;18.0569
01.09.07;20.9577;20.5307;20.1584;20.5855;18.1839;19.4147
01.10.07;16.5333;16.8731;17.386;16.4263;17.656;10.918
01.11.07;19.13;18.0261;16.7397;17.1058;17.9636;12.5837
01.12.07;23.4123;21.1084;21.0999;20.3648;21.71;16.4463
01.01.08;19.0894;19.8836;20.1314;20.9122;15.8038;20.8072
