Code;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
17.06.11;22.7227;17.1671;16.8425;17.2266;18.3284;13.9387
20.06.11;17.9722;17.2003;17.4108;18.5279;13.8318;17.9964
21.06.11;16.7325;16.533;17.0223;18.3229;13.7927;17.8207
22.06.11;15.8788;16.0773;16.5456;17.7423;13.5826;17.6058
23.06.11;18.2921;17.7393;17.3354;18.2359;13.3586;17.9015
24.06.11;18.1396;17.4069;17.7018;18.6482;13.3184;17.6939
27.06.11;19.2152;18.1732;18.1257;18.5959;13.962;17.7257
28.06.11;19.7381;18.1957;18.0292;18.6363;13.9845;17.7042
29.06.11;17.0843;16.793;17.4357;17.6935;13.9798;17.3582
30.06.11;15.0859;15.3945;16.1937;17.0946;13.9226;16.8351
01.07.11;13.9182;14.6355;15.409;16.6028;13.8474;16.678
04.07.11;14.4598;14.6493;15.3084;16.5208;13.873;16.6276
05.07.11;14.9802;14.9;15.4062;16.5879;13.9948;16.7384
06.07.11;16.0992;15.3375;15.7275;16.8485;14.0192;16.8189
07.07.11;15.1263;14.8937;15.8503;16.9341;14.1737;16.9262
08.07.11;16.0729;15.5173;15.869;16.752;13.8534;16.9033
11.07.11;22.5076;17.5348;17.3784;17.5656;13.8555;17.3531
12.07.11;25.741;18.6873;18.4845;18.5816;13.9798;17.6716
13.07.11;22.3261;17.7026;17.5791;18.4445;13.9622;17.4686
14.07.11;22.3261;18.4478;18.1056;18.3735;13.843;17.4692
15.07.11;22.3261;18.8173;18.7191;18.848;13.8336;17.7816
18.07.11;21.6618;20.4701;18.7191;19.636;13.7101;17.869
19.07.11;20.917;20.2276;20.2937;20.683;14.434;18.4003
20.07.11;19.8711;19.6064;19.6126;20.1308;15.1635;18.2992
21.07.11;18.0099;18.2943;18.6438;19.2518;15.2257;18.0679
22.07.11;16.7632;17.4284;18.0229;18.4919;14.9604;17.7146
25.07.11;17.5017;17.8344;17.9267;18.4491;14.9716;17.7119
26.07.11;17.6886;17.9789;17.9199;18.4538;14.866;17.6759
27.07.11;19.3166;18.7957;18.471;18.6832;14.612;17.7188
28.07.11;20.2344;19.5267;19.11;19.3892;14.6631;17.9775
29.07.11;22.806;20.7475;20.0351;19.9031;14.6213;18.0594
01.08.11;22.806;20.7475;20.0351;19.9031;14.6213;18.0594
02.08.11;26.4459;21.8469;20.53;21.5078;14.2145;11.6979
03.08.11;26.427;24.6212;22.7097;22.4157;14.1504;18.8186
04.08.11;31.5236;27.5887;24.1855;23.3799;15.5312;18.6393
05.08.11;36.9316;31.6571;26.9452;25.9527;17.1323;19.3905
08.08.11;43.2006;36.8958;30.6818;28.0693;17.7173;20.3676
09.08.11;51.9319;43.0269;36.979;31.2075;19.0949;20.7322
10.08.11;56.4735;43.4604;35.8927;31.0576;25.4536;24.1297
11.08.11;55.2974;43.1011;36.6658;31.696;27.06;25.034
12.08.11;49.1248;39.7687;35.3702;30.5764;26.3906;24.0733
15.08.11;42.2585;35.6627;33.3136;29.1736;25.9194;24.1958
16.08.11;39.2893;33.8998;32.5606;28.6943;25.4539;23.8975
17.08.11;37.3872;31.4774;30.7608;27.8684;24.9537;23.3379
18.08.11;37.3872;39.7297;34.5761;29.9775;26.2106;23.9411
19.08.11;37.3872;41.8406;37.0423;32.3646;27.3986;25.1014
22.08.11;42.0401;37.0766;37.0423;32.4704;27.246;25.2286
23.08.11;40.9179;36.5714;33.1958;32.2627;27.5016;25.1824
24.08.11;38.1554;34.9336;32.115;31.2751;27.133;25.0818
25.08.11;40.135;35.3683;32.5463;31.9952;27.2528;25.1046
26.08.11;39.5277;35.8376;33.3712;32.6204;27.5877;25.432
29.08.11;36.2738;33.0237;31.0573;30.7278;27.152;25.1666
30.08.11;34.6277;31.8352;30.2223;29.722;26.3658;24.6831
31.08.11;31.8725;30.3581;28.9833;28.5179;25.9134;24.4326
01.09.11;32.6155;30.3898;28.9406;28.5969;25.5769;23.9841
02.09.11;37.1975;32.5112;30.6871;30.1551;26.116;24.213
05.09.11;47.3781;37.9066;34.0577;33.8959;27.6145;25.3539
06.09.11;44.1097;39.5791;35.2751;33.9458;28.8095;26.1316
07.09.11;37.5332;36.7784;33.7524;32.5623;28.0658;25.6704
08.09.11;32.9875;33.3385;32.185;31.4531;27.3483;25.3092
09.09.11;39.9096;35.6343;33.0086;32.2314;27.7627;27.6921
12.09.11;50.6477;40.4054;36.1861;35.8481;29.3701;29.3248
13.09.11;41.594;38.8326;36.6385;35.3805;29.6217;29.8372
14.09.11;40.371;36.7529;35.5097;34.2993;29.1982;29.4997
15.09.11;40.371;33.5128;33.8405;32.7772;28.4205;28.8174
16.09.11;40.371;31.3863;31.9341;31.5199;27.5387;27.917
19.09.11;33.7984;32.8453;32.4453;27.6863;27.7344;27.917
20.09.11;31.1112;31.4754;31.2142;27.3837;27.9572;15.6178
21.09.11;30.8422;30.2644;30.1136;26.9106;27.4463;16.6665
22.09.11;34.7527;33.0345;32.3391;27.6525;27.9026;16.4923
23.09.11;36.0245;33.8884;33.3468;28.7053;29.2451;16.8241
26.09.11;36.5667;33.9606;33.4912;29.199;29.7596;17.8874
27.09.11;32.2937;32.3308;32.0131;28.2504;28.8942;18.1265
28.09.11;32.9311;31.7114;31.5581;28.2276;28.9517;18.0765
29.09.11;31.2945;30.9922;31.0701;28.1492;28.915;18.3514
30.09.11;33.1726;32.5618;32.4042;28.6357;29.1068;18.3243
03.10.11;35.0119;34.1438;33.6889;29.4292;30.0301;18.7667
04.10.11;36.4335;35.3946;34.7976;30.228;30.8695;18.9616
05.10.11;32.8352;33.4299;33.2876;29.9163;30.7099;19.0285
06.10.11;30.371;30.8593;31.416;29.09;30.2165;19.0284
07.10.11;27.0534;29.1476;29.9889;28.6013;29.5191;19.2452
10.10.11;26.1513;27.199;29.2763;27.86;28.8102;19.2042
11.10.11;25.8412;26.8674;28.2794;27.4246;28.115;19.2979
12.10.11;23.2288;25.212;26.988;26.7283;27.8486;19.2285
13.10.11;26.6997;25.8828;26.9643;26.8922;27.6789;19.2573
14.10.11;21.5043;24.4609;26.4116;26.3969;27.6386;19.4404
17.10.11;29.0965;24.8048;26.2794;26.2389;27.3872;19.1779
18.10.11;28.6408;25.4893;26.4395;26.3009;27.4374;19.2036
19.10.11;26.7456;25.8816;26.5893;26.4347;27.5263;19.283
20.10.11;26.7456;27.9743;27.5038;26.7225;27.7016;19.3211
21.10.11;26.7456;24.8158;26.7116;26.6976;27.4315;19.45
24.10.11;22.4753;24.9864;26.7116;25.76;26.6143;18.9988
25.10.11;22.9664;24.2882;23.7772;25.1632;26.2339;18.8864
