Code;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
01.01.08;19,0894;19,8836;20,1314;20,9122;15,8038;20,8072
02.01.08;19,0894;19,8836;20,1314;20,9122;15,8038;20,8072
03.01.08;22,2001;21,9313;21,6788;22,0591;16,0393;21,1556
04.01.08;24,5998;23,593;22,2561;22,077;15,7392;21,3218
07.01.08;25,6664;23,8233;23,2328;23,0781;15,4866;22,4589
08.01.08;23,2576;22,2787;22,7931;22,6429;15,4259;22,2564
09.01.08;23,0068;21,9861;21,6681;22,1128;16,1638;21,6562
10.01.08;23,9894;22,5309;21,9271;21,9928;16,2205;21,6333
11.01.08;24,2098;23,3222;22,4374;22,389;16,1349;21,7043
14.01.08;27,1651;23,5068;23,4107;23,1493;16,0228;22,3047
15.01.08;29,2135;24,7712;23,3844;23,5123;15,9559;22,2944
16.01.08;35,9912;26,4802;24,7498;24,2451;15,9253;23,0921
17.01.08;35,9912;26,5192;24,998;24,3722;15,9584;23,522
18.01.08;35,9912;28,0398;25,8284;24,6394;16,4681;23,7213
21.01.08;35,9912;34,8273;29,8375;27,4433;16,8265;25,1796
22.01.08;34,1202;29,4449;19,5434;29,4837;15,633;26,1106
23.01.08;37,2087;31,2066;23,1497;29,3161;19,4898;26,3775
24.01.08;32,3606;29,6513;23,5444;28,962;19,5101;26,5055
25.01.08;30,4081;29,2882;27,0266;27,6281;20,1569;25,1109
28.01.08;31,7766;30,2326;27,5887;27,9951;20,0216;25,2876
29.01.08;30,1564;29,1923;27,4897;26,9806;19,6468;25,1075
30.01.08;30,8468;29,1863;26,586;26,9447;19,906;24,731
31.01.08;29,8118;28,9139;26,8237;27,1432;19,7172;24,7085
01.02.08;27,5063;27,4986;25,9316;26,0685;19,4645;24,137
04.02.08;29,1911;27,8688;25,2768;25,773;19,5357;23,9996
05.02.08;34,4764;30,1974;26,4199;26,0597;19,5409;24,4256
06.02.08;32,9316;30,8056;28,4728;27,8101;19,3377;25,4739
07.02.08;34,7008;31,3763;28,4628;27,8012;19,5761;25,384
08.02.08;32,3825;31,6051;29,7388;28,5914;19,3532;25,9966
11.02.08;38,1032;32,3484;29,8865;29,019;19,4658;25,7202
12.02.08;33,5113;30,8819;29,5227;29,1396;19,0658;26,2194
13.02.08;34,0645;29,1444;27,9506;27,7151;19,4796;25,6258
14.02.08;34,0645;28,9349;27,4562;27,2554;19,1467;24,967
15.02.08;34,0645;29,9191;28,0297;27,918;19,1091;25,3822
18.02.08;34,0645;28,6089;28,2124;27,7889;19,0841;25,953
19.02.08;27,8905;26,6095;19,3063;27,5206;19,0682;25,6228
20.02.08;28,6765;27,0301;20,0068;27,2849;19,0887;25,284
21.02.08;27,3295;27,0894;19,8675;27,4541;18,9273;25,4525
22.02.08;27,7774;26,9677;20,2432;27,0013;19,2097;25,1694
25.02.08;27,2701;27,6816;20,2654;27,3248;19,3428;25,2366
26.02.08;25,4056;25,3293;19,7525;27,0471;19,5779;24,7232
27.02.08;24,6353;24,7861;20,3575;25,9061;19,7953;24,3721
28.02.08;26,2306;25,2399;24,3261;25,4558;19,6299;24,1543
29.02.08;28,0901;26,5382;25,3724;26,317;19,7702;24,9957
03.03.08;31,0376;28,4796;27,0549;28,1667;19,6509;25,5503
04.03.08;31,0461;29,0735;27,4745;28,4778;19,4901;26,4079
05.03.08;28,9193;28,476;27,8045;28,8351;19,0722;26,5134
06.03.08;30,0566;28,7059;26,9218;28,1985;19,1344;26,1724
07.03.08;30,018;29,1376;27,7704;29,0464;18,9508;26,6557
10.03.08;32,1902;30,2795;28,1341;29,8206;18,8998;27,2645
11.03.08;30,1096;29,7945;28,7391;29,6277;23,3471;27,0906
12.03.08;28,3214;28,5005;28,2464;29,2669;23,0564;26,9951
13.03.08;30,0034;28,6333;27,6022;29,0541;23,4185;26,8995
14.03.08;31,1221;29,3302;28,4439;29,2479;23,3312;27,1815
17.03.08;46,6904;33,1313;29,9364;30,8016;23,7236;28,1802
18.03.08;41,8699;32,5272;31,71;32,3732;22,7085;28,9614
19.03.08;41,8699;29,5498;29,4074;30,0165;22,6256;27,6857
20.03.08;41,8699;28,8952;28,6966;29,7221;22,6736;27,3616
21.03.08;41,8699;28,8952;28,6966;29,7221;22,6736;27,3616
24.03.08;41,8699;28,8952;28,6966;29,7221;22,6736;27,3616
25.03.08;41,8699;27,731;28,9493;29,5189;22,509;27,143
26.03.08;26,9778;26,8272;27,9946;22,8255;26,6598;16,0623
27.03.08;25,4621;26,1908;27,4808;22,3757;26,1198;16,1004
28.03.08;24,9513;25,5327;26,697;22,314;25,9108;15,9658
31.03.08;26,0252;25,9789;27,0799;22,3652;25,8934;16,0105
01.04.08;24,5758;24,1769;25,6436;21,8191;25,3959;15,7526
02.04.08;23,9733;23,339;24,2218;21,8394;24,5494;16,5359
03.04.08;24,6413;24,1292;24,7437;22,3954;24,5159;16,9944
04.04.08;22,9733;23,7336;24,6487;22,1869;24,7427;17,0146
07.04.08;23,3855;23,2868;23,7651;22,0166;24,487;16,9105
08.04.08;23,484;23,4995;24,0227;21,9807;24,4454;17,1199
09.04.08;23,7391;23,6662;24,4241;21,8415;24,5441;17,2021
10.04.08;23,6277;23,7967;24,2939;21,8443;24,7183;17,2774
11.04.08;24,1711;23,4558;24,4784;21,6517;24,8604;17,2619
14.04.08;30,2011;24,2927;24,7224;21,6494;24,8967;17,1456
15.04.08;28,2373;23,7002;24,8539;21,6124;25,2052;17,1541
16.04.08;25,4685;22,0247;23,8625;21,3497;24,8114;17,0999
17.04.08;25,4685;22,552;23,346;21,1715;24,3316;17,1208
18.04.08;25,4685;20,7593;22,3917;20,6934;24,0998;16,7431
21.04.08;25,4685;21,2276;22,3289;20,8597;23,4568;16,8993
22.04.08;21,3484;22,4641;17,0894;20,9314;23,5423;16,9607
23.04.08;20,2971;21,8413;22,2365;20,7736;23,4937;16,8925
24.04.08;19,7011;20,8801;21,7574;20,5932;23,0659;16,7594
25.04.08;19,1982;20,642;21,027;20,4276;22,5053;16,5796
28.04.08;18,9498;19,9801;20,4024;19,8646;22,0298;16,3268
29.04.08;19,8897;20,788;20,7526;20,0737;22,1539;16,3788
30.04.08;18,8534;19,7332;20,56;19,9971;22,3677;16,3971
01.05.08;18,8534;19,7332;20,56;19,9971;22,3677;16,3971
02.05.08;17,0585;18,7072;19,2899;19,4565;21,5247;15,8802
05.05.08;17,7753;18,7901;19,2629;19,1399;21,011;15,6262
06.05.08;18,3075;19,137;19,1617;19,5951;21,1241;15,7056
07.05.08;17,3099;18,4446;19,3109;19,2829;21,1959;15,8253
08.05.08;17,5031;18,8752;18,9742;19,2667;20,6429;15,7175
09.05.08;18,1989;19,5183;19,5301;19,453;21,0801;15,9388
12.05.08;18,1989;19,5183;19,5301;19,453;21,0801;15,9388
13.05.08;22,4036;19,1856;19,8078;19,7085;21,533;16,1203
14.05.08;22,0566;18,605;19,387;19,8704;21,1419;15,8802
15.05.08;22,0566;18,1622;18,7588;19,6523;21,0141;15,7519
16.05.08;22,0566;18,2285;18,4938;19,7289;20,9668;15,8139
19.05.08;22,0566;17,2364;17,8732;19,1828;20,4047;15,6027
20.05.08;18,7314;18,7643;15,8036;19,8624;20,7363;16,0788
21.05.08;19,3289;19,6853;19,7444;20,3225;21,4123;16,4871
22.05.08;18,8565;19,8352;20,0009;20,6285;21,546;16,7186
23.05.08;20,4167;20,6853;20,3741;20,9496;21,8314;16,7921
26.05.08;20,9002;21,3644;21,0204;21,8144;22,401;17,1346
27.05.08;20,6628;21,0169;21,6461;22,1979;22,9378;17,4476
28.05.08;20,2546;20,6528;21,2276;21,8124;22,6643;17,39
29.05.08;19,2888;20,015;20,6742;21,4868;22,3532;17,3581
30.05.08;19,0621;19,9664;20,3988;21,3256;22,299;17,1894
02.06.08;20,6648;20,5947;20,8844;21,5423;22,7124;17,373
03.06.08;20,202;20,2862;20,753;21,4624;22,5128;17,331
04.06.08;21,6989;21,3949;21,1756;21,7982;22,9194;17,3781
05.06.08;20,8144;20,6684;21,287;22,0201;23,1187;17,6399
06.06.08;23,2558;22,519;21,5747;21,8382;22,8653;17,3795
09.06.08;25,2677;23,6414;22,8461;22,8828;23,6844;17,7346
10.06.08;23,9844;23,3136;22,9267;23,0748;23,9102;17,8118
11.06.08;25,3071;24,1188;22,8961;23,0999;23,5272;17,6116
12.06.08;24,0236;23,0834;23,4246;23,6556;23,9924;17,8685
13.06.08;22,3811;22,0594;22,2616;23,1595;23,5413;17,7147
16.06.08;25,8556;22,4016;22,3058;22,7931;23,093;17,5208
17.06.08;24,5578;21,3784;21,3458;22,3049;22,8628;17,4635
18.06.08;25,6138;22,4162;21,9692;22,253;22,7229;17,2614
19.06.08;25,6138;22,4347;22,0478;22,5438;22,7488;17,2185
20.06.08;25,6138;23,5583;22,74;22,7166;23,0282;17,089
23.06.08;25,6138;23,1875;22,6228;23,0717;23,2858;17,0169
24.06.08;23,1214;22,4263;22,9513;23,3609;17,0223;20,8297
25.06.08;21,6283;21,4746;22,24;22,9628;16,8252;20,8053
26.06.08;23,5615;22,3498;22,0406;22,6796;16,6298;20,191
27.06.08;24,0013;23,0154;22,7415;23,4686;16,4661;20,3597
30.06.08;23,6635;22,3506;23,0464;23,348;17,1143;20,3747
01.07.08;25,3476;23,7933;22,6385;22,7463;17,0843;20,1247
02.07.08;25,0235;23,5847;23,3683;23,3469;17,0087;20,2023
03.07.08;25,0074;23,7041;23,418;23,2411;16,9313;20,1974
04.07.08;25,4986;24,3117;23,7883;23,2564;16,9576;20,273
07.07.08;25,4082;23,8986;23,8381;23,6853;17,5166;20,2599
08.07.08;26,291;24,5727;24,0764;23,7371;17,5935;20,2867
09.07.08;24,8961;23,2613;23,4156;23,5448;17,5914;20,0598
10.07.08;27,3637;24,836;24,0311;23,0771;17,8218;20,3465
11.07.08;28,7997;26,1851;24,7426;24,2678;17,5098;20,4551
14.07.08;32,2616;26,2343;25,5619;25,0094;17,9858;20,656
15.07.08;34,9995;27,1922;25,5624;25,0903;17,7696;20,3434
16.07.08;34,47;26,3178;25,8647;25,2273;18,2848;20,5736
17.07.08;34,47;25,1006;24,8212;24,1229;18,2563;20,6509
18.07.08;34,47;23,3493;23,2706;23,317;18,3545;20,3586
21.07.08;34,47;23,0793;23,1831;23,1347;18,5913;20,4325
22.07.08;22,3472;22,5336;18,1158;22,6716;18,5115;20,394
23.07.08;21,4103;21,6327;21,9966;21,8693;18,4724;20,2881
24.07.08;21,71;21,6828;21,4303;21,943;18,7177;20,2583
25.07.08;21,7694;22,0071;21,7729;22,4081;18,8773;20,3241
28.07.08;23,0964;22,6189;22,5414;22,8509;18,9845;20,5822
29.07.08;22,9526;22,4401;22,7462;22,8406;19,017;20,515
30.07.08;21,6374;21,4166;21,9651;21,9717;18,8981;20,3975
31.07.08;21,0574;21,2206;21,4266;21,7161;18,8632;20,2908
01.08.08;21,0574;21,2206;21,4266;21,7161;18,8632;20,2908
04.08.08;23,7781;22,4276;22,2692;22,4449;19,1013;20,4371
05.08.08;22,0407;21,156;21,4232;21,4344;18,8992;20,3104
06.08.08;21,1591;20,7302;20,8304;21,4649;18,7717;20,0275
07.08.08;20,7182;20,8872;21,0314;21,7734;18,8882;20,1424
