Date,GOOGL,EBAY,FB,YHOO,WU,VRSN,NFLX,TSS,FIS,ADP,VALUE
2015/5/1,551.159973,24.957912,78.989998,42.509998,20.568198,64.150002,79.575714,39.519158,62.095341,83.941738,1047.468032
2015/5/4,552.840027,24.877946,78.809998,42.040001,20.500444,64.419998,79.271431,39.945481,62.233089,84.400331,1049.338746
2015/5/5,543.039978,24.38552,77.559998,41.299999,20.277824,62.849998,80.792854,39.866163,62.351159,83.531935,1035.955428
2015/5/6,535.080017,24.196128,78.099998,41.66,21.148947,63.34,80.077141,40.203256,62.459391,83.336792,1029.60167
2015/5/7,542.039978,24.393937,78.43,43.869999,21.00376,63.560001,80.748573,40.312316,63.030064,84.205188,1041.593816
2015/5/8,548.950012,24.755891,78.510002,44.09,21.22638,63.900002,82.085716,40.758469,64.033669,85.229697,1053.539838
2015/5/11,545.780029,24.553872,78.010002,43.599998,21.061834,63.599998,84.278572,40.62958,63.50235,85.093095,1050.10933
2015/5/12,538.72998,24.537036,77.459999,43.84,21.052155,63.669998,83.377144,40.728727,62.971031,84.654022,1041.020092
2015/5/13,539.48999,24.751683,78.440002,44.400002,21.168306,63.849998,82.872856,40.649409,62.833283,84.21494,1042.670469
2015/5/14,549.200012,25.294612,81.370003,44.950001,21.255416,64.120003,83.835716,40.976589,63.512191,85.854161,1060.368704
2015/5/15,546.48999,25.004209,80.419998,44.75,21.013438,64.089996,87.60714,41.04599,63.413793,85.6395,1059.474054
2015/5/18,546.669983,25.025251,80.879997,44.360001,21.284455,64.57,88.267143,41.551627,63.610582,85.356546,1061.575585
2015/5/19,549.280029,24.936868,80.629997,40.98,21.700658,64.309998,88.068573,41.56154,63.738489,85.766349,1060.972501
2015/5/20,552.51001,24.89478,80.550003,42.790001,21.758733,64.239998,88.790001,41.482226,63.738489,85.307756,1066.061997
2015/5/21,556.809998,25.143098,80.480003,43.68,21.778091,64.510002,89.002853,41.323595,63.50235,85.151637,1071.381627
2015/5/22,554.52002,25.134679,80.540001,43.490002,21.836166,64.519997,88.83857,41.145133,63.335085,84.712563,1068.072216
2015/5/26,547.190002,24.718013,79.330002,42.849998,21.526433,63.509998,87.992859,40.431289,62.233089,83.346544,1053.128227
2015/5/27,554.25,24.991582,80.550003,43.380001,21.478038,64.480003,89.85714,40.976589,62.557786,83.824656,1066.345798
2015/5/28,554.179993,25.488216,80.150002,43.07,21.23606,63.66,89.507141,40.877442,62.380679,83.883197,1064.43273
2015/5/29,545.320007,25.824916,79.190002,42.939999,21.245739,63.189999,89.151428,40.847699,61.691933,83.434364,1052.836086
2015/6/1,549.210022,26.329967,80.290001,43.349998,21.245739,63.259998,89.002853,40.82787,61.613217,83.229462,1058.359127
2015/6/2,553.950012,26.094276,80.440002,43.150002,21.410285,62.310001,89.129997,40.946843,61.436111,83.375815,1062.243344
2015/6/3,555.289978,26.098483,82.440002,43.209999,21.516754,62.98,88.808571,41.234364,61.514827,83.395334,1066.488312
2015/6/4,551.690002,26.300506,82.050003,42.880001,21.187663,62.720001,89.348572,40.71881,60.786722,82.039075,1059.721355
2015/6/5,549.530029,26.611951,82.139999,42.810001,21.061834,62.650002,90.459999,41.085645,61.199972,82.214706,1059.764138
2015/6/8,543.47998,25.610269,80.669998,42.009998,20.829535,62.009998,89.604286,40.60975,60.97367,81.473152,1047.270636
