Date,VXST_9d,VIX_30d,VXV_3m,VXM_6m
2011/1/3,16.04 ,17.61 ,20.62 ,23.40 
2011/1/4,16.06 ,17.38 ,20.61 ,23.19 
2011/1/5,15.57 ,17.02 ,20.05 ,22.78 
2011/1/6,15.71 ,17.40 ,20.35 ,22.87 
2011/1/7,15.01 ,17.14 ,20.29 ,22.92 
2011/1/10,15.81 ,17.54 ,20.48 ,22.93 
2011/1/11,14.93 ,16.89 ,20.14 ,22.71 
2011/1/12,14.82 ,16.24 ,19.23 ,21.94 
2011/1/13,14.92 ,16.39 ,19.20 ,21.91 
2011/1/14,14.30 ,15.46 ,18.37 ,21.33 
2011/1/17,14.30 ,15.46 ,18.37 ,21.33 
2011/1/18,16.34 ,15.87 ,18.38 ,21.29 
2011/1/19,17.74 ,17.31 ,19.64 ,22.04 
2011/1/20,16.98 ,17.99 ,19.90 ,22.15 
2011/1/21,17.32 ,18.47 ,19.97 ,22.25 
2011/1/24,17.38 ,17.65 ,19.58 ,21.98 
2011/1/25,17.75 ,17.59 ,19.34 ,21.82 
2011/1/26,16.27 ,16.64 ,18.82 ,21.24 
2011/1/27,15.07 ,16.15 ,18.48 ,20.83 
2011/1/28,21.25 ,20.04 ,20.59 ,22.34 
2011/1/31,20.50 ,19.53 ,20.15 ,21.88 
2011/2/1,17.21 ,17.63 ,18.97 ,21.10 
2011/2/2,16.83 ,17.30 ,19.09 ,21.22 
2011/2/3,15.38 ,16.69 ,18.92 ,21.00 
2011/2/4,14.19 ,15.93 ,18.33 ,20.60 
2011/2/7,15.33 ,16.28 ,18.26 ,20.36 
2011/2/8,14.56 ,15.81 ,17.85 ,20.08 
2011/2/9,14.30 ,15.87 ,17.86 ,20.09 
2011/2/10,14.53 ,16.09 ,18.10 ,20.16 
2011/2/11,14.79 ,15.69 ,17.86 ,19.85 
2011/2/14,16.16 ,15.95 ,17.94 ,20.03 
2011/2/15,16.58 ,16.37 ,18.27 ,20.24 
2011/2/16,16.87 ,16.72 ,18.32 ,20.33 
2011/2/17,15.81 ,16.59 ,18.63 ,20.71 
2011/2/18,14.92 ,16.43 ,18.90 ,20.92 
2011/2/21,14.92 ,16.43 ,18.90 ,20.92 
2011/2/22,22.09 ,20.80 ,21.32 ,22.99 
2011/2/23,22.77 ,22.13 ,22.47 ,23.88 
2011/2/24,21.51 ,21.32 ,22.26 ,23.86 
2011/2/25,18.47 ,19.22 ,20.57 ,22.71 
2011/2/28,18.30 ,18.35 ,20.00 ,21.75 
2011/3/1,21.59 ,21.01 ,21.90 ,23.31 
2011/3/2,20.78 ,20.70 ,21.68 ,23.29 
2011/3/3,16.85 ,18.60 ,20.44 ,22.29 
2011/3/4,17.69 ,19.06 ,20.80 ,22.67 
2011/3/7,20.97 ,20.66 ,21.85 ,23.46 
2011/3/8,19.34 ,19.82 ,21.45 ,23.13 
2011/3/9,19.93 ,20.22 ,21.82 ,23.47 
2011/3/10,22.89 ,21.88 ,22.76 ,24.27 
2011/3/11,19.40 ,20.08 ,21.87 ,23.69 
2011/3/14,21.93 ,21.13 ,22.49 ,24.00 
2011/3/15,25.90 ,24.32 ,24.03 ,25.27 
2011/3/16,31.04 ,29.40 ,26.91 ,27.10 
2011/3/17,28.62 ,26.37 ,25.44 ,26.09 
2011/3/18,25.31 ,24.44 ,24.34 ,25.36 
2011/3/21,21.02 ,20.61 ,21.95 ,23.45 
2011/3/22,20.17 ,20.21 ,21.70 ,23.34 
2011/3/23,19.06 ,19.17 ,20.93 ,22.75 
2011/3/24,17.42 ,18.00 ,20.08 ,22.19 
2011/3/25,17.49 ,17.91 ,20.03 ,22.15 
2011/3/28,19.84 ,19.44 ,20.86 ,22.63 
2011/3/29,17.46 ,18.16 ,19.97 ,22.05 
2011/3/30,16.98 ,17.71 ,19.75 ,21.75 
2011/3/31,16.31 ,17.74 ,19.84 ,21.93 
2011/4/1,15.15 ,17.40 ,19.59 ,21.76 
2011/4/4,16.72 ,17.50 ,19.39 ,21.66 
2011/4/5,15.81 ,17.25 ,19.40 ,21.65 
2011/4/6,15.21 ,16.90 ,19.38 ,21.63 
2011/4/7,15.93 ,17.11 ,19.50 ,21.83 
2011/4/8,17.21 ,17.87 ,20.05 ,22.32 
2011/4/11,18.39 ,16.59 ,20.01 ,22.31 
2011/4/12,18.93 ,17.09 ,20.33 ,22.63 
2011/4/13,17.97 ,16.92 ,19.99 ,22.36 
2011/4/14,15.99 ,16.27 ,19.96 ,22.34 
2011/4/15,14.28 ,15.32 ,19.17 ,21.88 
2011/4/18,17.63 ,16.96 ,19.92 ,22.49 
2011/4/19,15.91 ,15.83 ,19.18 ,21.97 
2011/4/20,15.91 ,15.07 ,18.48 ,21.37 
2011/4/21,13.03 ,14.69 ,18.35 ,21.21 
2011/4/22,13.03 ,14.69 ,18.35 ,21.21 
2011/4/25,15.05 ,15.77 ,18.55 ,21.36 
2011/4/26,15.16 ,15.62 ,18.27 ,20.96 
2011/4/27,14.61 ,15.35 ,17.90 ,20.64 
2011/4/28,12.81 ,14.62 ,17.52 ,20.29 
2011/4/29,13.09 ,14.75 ,17.50 ,20.25 
2011/5/2,15.16 ,15.99 ,18.39 ,21.06 
2011/5/3,15.71 ,16.70 ,19.11 ,21.49 
